sim,tau,bleaching,mean_brightness,sd_brightness,bleaching_type,bleaching_extent
01M,10,exponential0.5,0.9946915003472379,0.014603550539791102,exponential,0.5
01M,10,exponential0.75,1.008399575030325,0.022011341290686288,exponential,0.75
01M,10,exponential0.9,1.0160693457772982,0.027003998239201802,exponential,0.9
01M,10,exponential0.95,1.0185069320781133,0.02868713489144553,exponential,0.95
01M,10,exponential0.99,1.0202930979447495,0.029927468335748213,exponential,0.99
01M,10,linear0.5,0.9975460793366008,0.014961093999362886,linear,0.5
01M,10,linear0.75,1.0093696986771727,0.022633875775488393,linear,0.75
01M,10,linear0.9,1.0159972378848052,0.026692304414280964,linear,0.9
01M,10,linear0.95,1.0183061163209537,0.028690326932493626,linear,0.95
01M,10,linear0.99,1.0203321196174224,0.029948075160961877,linear,0.99
01M,10,none,1.0207549170465071,0.030270752346854526,none,NA
01M,10,power0.5,0.9875309261594303,0.013961102135695125,power,0.5
01M,10,power0.75,1.0035083168777312,0.02194538155850456,power,0.75
01M,10,power0.9,1.0137943295594538,0.027419313294388948,power,0.9
01M,10,power0.95,1.017331564701926,0.028645635667397047,power,0.95
01M,10,power0.99,1.0200968975052165,0.02998677956329636,power,0.99
01M,auto,exponential0.5,1.2073118208591505,0.014174428191676032,exponential,0.5
01M,auto,exponential0.75,1.402426961106148,0.007988586062279656,exponential,0.75
01M,auto,exponential0.9,1.5158206879020837,0.06384465854040076,exponential,0.9
01M,auto,exponential0.95,1.5868634652450693,0.0197622671564867,exponential,0.95
01M,auto,exponential0.99,1.697430146604171,0.09409094264052527,exponential,0.99
01M,auto,linear0.5,1.3607255421460223,0.007145987513472137,linear,0.5
01M,auto,linear0.75,1.449211273466181,0.006581781758586567,linear,0.75
01M,auto,linear0.9,1.514130800748037,0.02376165257176499,linear,0.9
01M,auto,linear0.95,1.6027552787773922,0.03487449470533983,linear,0.95
01M,auto,linear0.99,1.678185457370191,0.05177998536264354,linear,0.99
01M,auto,none,1.6883876518933505,0.07177127195374214,none,NA
01M,auto,power0.5,1.0942473034286377,0.014712323559416618,power,0.5
01M,auto,power0.75,1.178708873212095,0.021925476831558238,power,0.75
01M,auto,power0.9,1.2585592668083707,0.017885077320924706,power,0.9
01M,auto,power0.95,1.607471855750408,0.044325640530506485,power,0.95
01M,auto,power0.99,1.6743647392752168,0.05883842839490726,power,0.99
01M,NA,exponential0.5,2.11745236364834,0.03499435458706302,exponential,0.5
01M,NA,exponential0.75,1.925691674918344,0.05859890718018185,exponential,0.75
01M,NA,exponential0.9,1.9235532850952584,0.06971369773005169,exponential,0.9
01M,NA,exponential0.95,1.936594010071312,0.07302682154631965,exponential,0.95
01M,NA,exponential0.99,1.951322221674089,0.07523620511122239,exponential,0.99
01M,NA,linear0.5,2.127786864335019,0.035857630973729904,linear,0.5
01M,NA,linear0.75,1.9306004552727034,0.059751762630833434,linear,0.75
01M,NA,linear0.9,1.9240918477983289,0.06942094572527646,linear,0.9
01M,NA,linear0.95,1.936698585441397,0.0730354626345596,linear,0.95
01M,NA,linear0.99,1.951348062230782,0.0752696608827095,linear,0.99
01M,NA,none,1.955561442957233,0.07585331571250588,none,NA
01M,NA,power0.5,1.678342611347304,0.03914037511104185,power,0.5
01M,NA,power0.75,1.7882697200087398,0.05799769044077018,power,0.75
01M,NA,power0.9,1.8830611390600405,0.06946510910728412,power,0.9
01M,NA,power0.95,1.9187168783307471,0.07258259705102321,power,0.95
01M,NA,power0.99,1.9481356210224672,0.07525183497888495,power,0.99
05M,10,exponential0.5,1.3957527363283326,0.3454729077499295,exponential,0.5
05M,10,exponential0.75,1.4218914802527713,0.320715890597634,exponential,0.75
05M,10,exponential0.9,1.4388497897302732,0.30962610835598403,exponential,0.9
05M,10,exponential0.95,1.4439343441608554,0.30583265051595837,exponential,0.95
05M,10,exponential0.99,1.448513626359558,0.3028934527472374,exponential,0.99
05M,10,linear0.5,1.4043258783896209,0.3402753570418336,linear,0.5
05M,10,linear0.75,1.4237447205174094,0.3201320778061804,linear,0.75
05M,10,linear0.9,1.4383760633784963,0.3087511403515694,linear,0.9
05M,10,linear0.95,1.4441085902033624,0.30580249129619125,linear,0.95
05M,10,linear0.99,1.4485374291581103,0.30298590166416645,linear,0.99
05M,10,none,1.4496203502675584,0.3021453443629006,none,NA
05M,10,power0.5,1.3100507709890254,0.29434836811700404,power,0.5
05M,10,power0.75,1.3783549436591436,0.3010498606485405,power,0.75
05M,10,power0.9,1.4217886475022443,0.30362988317247547,power,0.9
05M,10,power0.95,1.4354480762111266,0.3024811810310678,power,0.95
05M,10,power0.99,1.446827562100916,0.3020796591809946,power,0.99
05M,auto,exponential0.5,2.2772371228362345,0.29469021800653744,exponential,0.5
05M,auto,exponential0.75,2.9599920622031886,0.38215069181433503,exponential,0.75
05M,auto,exponential0.9,3.331626659574329,0.37505100392810725,exponential,0.9
05M,auto,exponential0.95,3.3865018996282696,0.515279278519694,exponential,0.95
05M,auto,exponential0.99,3.591321377541067,0.5645264906995876,exponential,0.99
05M,auto,linear0.5,2.920800408074489,0.3281960737669341,linear,0.5
05M,auto,linear0.75,3.171345578589991,0.24208556933195605,linear,0.75
05M,auto,linear0.9,3.5535667483200526,0.35153216414791155,linear,0.9
05M,auto,linear0.95,3.468054815305242,0.4840806754476437,linear,0.95
05M,auto,linear0.99,3.599285832695532,0.7367842867431568,linear,0.99
05M,auto,none,4.079530335395375,0.9322996886839974,none,NA
05M,auto,power0.5,1.501707885851386,0.26712463824029553,power,0.5
05M,auto,power0.75,1.9401777083641698,0.24552406248009265,power,0.75
05M,auto,power0.9,2.4960262195285923,0.2930096257657899,power,0.9
05M,auto,power0.95,2.858317056243298,0.43123267930384607,power,0.95
05M,auto,power0.99,3.263546436447335,0.5905095857912294,power,0.99
05M,NA,exponential0.5,6.915487532283376,0.8590372789614784,exponential,0.5
05M,NA,exponential0.75,5.882799117217965,0.7523562927170512,exponential,0.75
05M,NA,exponential0.9,5.849030269905632,0.6987024224567011,exponential,0.9
05M,NA,exponential0.95,5.908243253741217,0.6806761729979398,exponential,0.95
05M,NA,exponential0.99,5.978623080269449,0.6670322334733713,exponential,0.99
05M,NA,linear0.5,6.953296901867445,0.8498970138525547,linear,0.5
05M,NA,linear0.75,5.901627166212782,0.7528501609821385,linear,0.75
05M,NA,linear0.9,5.850867580970499,0.6970368470722748,linear,0.9
05M,NA,linear0.95,5.909193742937643,0.6812248843975633,linear,0.95
05M,NA,linear0.99,5.978732022029281,0.6673523962504128,linear,0.99
05M,NA,none,5.999173651259534,0.6637803663564288,none,NA
05M,NA,power0.5,4.646988138837495,0.6570137426387904,power,0.5
05M,NA,power0.75,5.175358776528711,0.6642832034471771,power,0.75
05M,NA,power0.9,5.6435162172748585,0.6673568527746994,power,0.9
05M,NA,power0.95,5.8164122425466465,0.6642643110876773,power,0.95
05M,NA,power0.99,5.962129231843217,0.6638894842352195,power,0.99
10M,10,exponential0.5,1.3526624095153175,0.020956774226152504,exponential,0.5
10M,10,exponential0.75,1.4287329784521572,0.023561704917923303,exponential,0.75
10M,10,exponential0.9,1.4742332088815517,0.02552244690839175,exponential,0.9
10M,10,exponential0.95,1.4894821039982564,0.02598402933086261,exponential,0.95
10M,10,exponential0.99,1.5016674345384304,0.026480716675482616,exponential,0.99
10M,10,linear0.5,1.3684604218109455,0.021446297972379288,linear,0.5
10M,10,linear0.75,1.4323105948007784,0.023703421865655244,linear,0.75
10M,10,linear0.9,1.4747305539865994,0.025593665964991647,linear,0.9
10M,10,linear0.95,1.4896937836496018,0.026013537052427996,linear,0.95
10M,10,linear0.99,1.501593603070621,0.02645684742859603,linear,0.99
10M,10,none,1.5046706006272277,0.026583129601857228,none,NA
10M,10,power0.5,1.275620166549556,0.015464321961889977,power,0.5
10M,10,power0.75,1.3844244019113865,0.0210967712748595,power,0.75
10M,10,power0.9,1.4562964516021604,0.02445775280496651,power,0.9
10M,10,power0.95,1.480312788455708,0.025709417183445854,power,0.95
10M,10,power0.99,1.4998026076780073,0.026354397584378266,power,0.99
10M,auto,exponential0.5,3.0550111554150767,0.10547690269013293,exponential,0.5
10M,auto,exponential0.75,4.461789133935258,0.15149526639992236,exponential,0.75
10M,auto,exponential0.9,5.284215806511166,0.19745421441596184,exponential,0.9
10M,auto,exponential0.95,5.727257594420292,0.7025543671168406,exponential,0.95
10M,auto,exponential0.99,6.23035625783644,1.1081391373595637,exponential,0.99
10M,auto,linear0.5,4.016382109161053,0.11746536016173931,linear,0.5
10M,auto,linear0.75,4.688884009451212,0.13461407015730467,linear,0.75
10M,auto,linear0.9,5.446933821845424,0.07210426949872784,linear,0.9
10M,auto,linear0.95,5.580193058189102,0.462512332275788,linear,0.95
10M,auto,linear0.99,6.151397767203226,1.3335963992563817,linear,0.99
10M,auto,none,6.085021651327083,0.8578513826454655,none,NA
10M,auto,power0.5,1.5050529613356445,0.01874146902863299,power,0.5
10M,auto,power0.75,2.2996483703810884,0.05291321679406915,power,0.75
10M,auto,power0.9,3.448121760516861,0.09587596419972068,power,0.9
10M,auto,power0.95,5.427031945455894,1.8420385140690116,power,0.95
10M,auto,power0.99,5.972602218600391,1.0718314494813934,power,0.99
10M,NA,exponential0.5,11.420820499949048,0.28710938288325294,exponential,0.5
10M,NA,exponential0.75,9.579845760761527,0.3213852787262657,exponential,0.75
10M,NA,exponential0.9,9.583240965228706,0.32793455497888985,exponential,0.9
10M,NA,exponential0.95,9.719234855465144,0.3297866249500342,exponential,0.95
10M,NA,exponential0.99,9.870638572078756,0.33106183272526174,exponential,0.99
10M,NA,linear0.5,11.502779749934954,0.2867376452236963,linear,0.5
10M,NA,linear0.75,9.618064940519362,0.32257013101124704,linear,0.75
10M,NA,linear0.9,9.5889641735564,0.32907001420328846,linear,0.9
10M,NA,linear0.95,9.720572029206952,0.33022090086184924,linear,0.95
10M,NA,linear0.99,9.87070311625312,0.33104688156458784,linear,0.99
10M,NA,none,9.914049528685213,0.33136674294346186,none,NA
10M,NA,power0.5,7.273806667506446,0.23087790431181307,power,0.5
10M,NA,power0.75,8.30915461021339,0.2827774510062253,power,0.75
10M,NA,power0.9,9.21976091098531,0.3128196783977199,power,0.9
10M,NA,power0.95,9.558751094665038,0.3219283060345413,power,0.95
10M,NA,power0.99,9.841949934609492,0.32960419437720767,power,0.99
